Turn,P,N,B,R,Q,p,n,b,r,q
1,171136,42784,42784,42784,21392,171136,42784,42784,42784,21392
2,171136,42784,42784,42784,21392,171136,42784,42784,42784,21392
3,171136,42784,42784,42784,21392,171005,42784,42784,42784,21392
4,170671,42784,42784,42784,21392,171005,42784,42784,42784,21392
5,170671,42784,42784,42784,21392,170262,42759,42784,42784,21392
6,166315,42778,42755,42784,21392,170262,42759,42784,42784,21392
7,166299,42774,42751,42780,21390,165545,42524,42673,42780,21386
8,163525,42605,42411,42780,21386,165545,42524,42673,42780,21386
9,163525,42605,42411,42780,21386,163632,42140,42484,42780,21382
10,161889,41691,42119,42776,21375,163618,42136,42480,42776,21380
11,161881,41689,42117,42774,21374,162160,41008,41901,42774,21358
12,160217,40946,41409,42767,21318,162138,41002,41895,42768,21355
13,160217,40946,41409,42767,21318,160071,40413,41425,42763,21287
14,158350,40114,40985,42756,21191,160063,40411,41423,42761,21286
15,158342,40113,40983,42754,21190,157862,39622,40836,42755,20938
16,156374,39158,40438,42741,20874,157833,39614,40828,42747,20935
17,156357,39155,40434,42737,20873,155678,38588,40214,42734,20817
18,154304,37987,39629,42711,20735,155615,38571,40197,42717,20811
19,154270,37980,39620,42701,20732,153535,37271,39275,42693,20663
20,152234,36548,38669,42655,20559,153438,37250,39249,42666,20652
21,152150,36531,38646,42631,20548,151418,35821,38341,42609,20459
22,150088,35054,37684,42523,20307,151235,35777,38297,42555,20434
23,149950,35027,37652,42485,20288,149165,34303,37273,42447,20191
24,147661,33580,36575,42343,20013,148912,34249,37213,42373,20157
25,147429,33529,36520,42275,19986,146552,32779,36120,42229,19892
26,145106,31963,35335,42102,19712,146253,32722,36052,42141,19855
27,144924,31927,35289,42049,19691,144115,31225,34804,41960,19557
28,142548,30392,34040,41801,19353,143776,31160,34722,41858,19518
29,142339,30350,33993,41739,19323,141487,29683,33526,41663,19154
30,139808,28822,32620,41429,18930,141010,29590,33410,41518,19094
31,139520,28766,32561,41339,18897,138736,28098,32033,41228,18730
32,136924,27257,31129,40914,18499,138154,27992,31907,41048,18659
33,136598,27203,31060,40819,18466,135771,26544,30634,40636,18266
34,133819,25627,29666,40214,17994,135027,26414,30483,40410,18171
35,133393,25560,29589,40084,17941,132484,24974,29037,39869,17717
36,130699,24108,28164,39403,17496,131853,24874,28900,39677,17634
37,130163,24018,28065,39239,17433,129165,23524,27531,38964,17172
38,127344,22680,26649,38372,16902,128401,23411,27374,38739,17076
39,126763,22587,26544,38205,16833,125741,22091,26042,37871,16578
40,123846,21259,25146,37255,16293,124847,21966,25877,37612,16472
41,123258,21163,25032,37080,16219,122085,20787,24545,36709,15923
42,120367,19863,23726,36088,15632,121269,20676,24398,36471,15818
43,119693,19762,23594,35889,15548,118472,19575,23099,35436,15250
44,116812,18625,22419,34650,14954,117542,19451,22919,35160,15132
45,116134,18528,22288,34461,14878,114705,18354,21816,34028,14576
46,113158,17446,21103,33236,14313,113755,18216,21628,33743,14459
47,112412,17341,20971,33025,14221,110866,17181,20472,32535,13915
48,109345,16284,19792,31660,13648,109759,17038,20267,32207,13775
49,108468,16177,19646,31411,13533,106867,16045,19167,30923,13195
50,105436,15138,18546,29988,12924,105752,15890,18970,30578,13054
51,104428,14999,18377,29688,12789,102743,14958,17902,29235,12434
